"product_id","product_name","product_brand","category","product_description","links","product_price","product_image"
"1","90006 Chelsea boot","Bova","Foot protection","Full grain leather
 Anti static, non woven in sock for flexibility, comfort and stability
 Anti-bacterial Energiser woollen top sock with anti-microbial properties
 Shank reinforcement for arch support
 Anti-penetration midsole
 Dual Density PU/PU (Heat-resistant up to 95°C)","https://www.bova.co.za/footwear/heavywear/core/chelsea-brown-safety-boot/","0.00","Foot protection/bova safety 4.png"
"2","90004 Neoflex boot","Bova","Foot Protection","Full grain leather
 Padded collar for comfort
 Reflective safety tab on rear for enhanced visibility
 Anti-static non-woven in-sock for flexibility, comfort and stability.
 Anti-bacterial Energiser woollen top sock with anti-microbial properties
 Shank reinforcement for arch support
 Dual Density PU/PU (Heat-resistant up to 95°C)","https://www.bova.co.za/footwear/heavywear/core/neoflex-safety-boots/","0.00","Foot protection/bova neoflex 4.png"
"3","Denver Executive shoe","Allen Cooper","Foot protection","EN ISO 20345:2011
S3 SRC
CE Rated
Rough surface/perforated
With Steel toe cap",,"0.00","Foot protection/Denver 4.1.png"
"4","Eliza ladies shoes","Allen Cooper","Foot protection","Ladies shoe
EN ISO 20345:2011
S3 SRC
CE Rated
Rough surface/perforated
With Steel toe cap",,"0.00","Foot protection/eliza 4.png"
"5","Ligero","Safety Jogger","Foot protection","Lightweight shoes
Removable hybrid insole with a built-in air circulation system and shock absorption
Topmost flexing & bending performance.
The insole features SJ-3FIT technology which allows the width of the shoe to be adjusted","https://www.safetyjogger.com/en/eu/shoes/ligero","0.00","Foot protection/ligero removed.png"
"6","M 8027","Safetoe","Foot protection","High quality water resistant cow leather
Breathable lining sandwich air mesh
Heavy Duty outsole PU/PU dual density
Steel Toecap and steel midsole plate
Standard: CE EN ISO 20345:2011 S3 SRC
Application : Construction, Logistics, Mechanics, Glasses Installation, Factory Workshop, Garage etc.","https://www.safetoe.net/Water-Resistant-Heavy-Duty-S3-Safety-Shoes-M-8027-pd44054822.html ","0.00","images/safetoe_boot-removebg-preview.png"
"7","Neogrip","Bova","Foot protection","Full grain leather
Reflective safety tab on rear for enhanced visibility
Padded collar for comfort
Anti-static non-woven in-sock for flexibility, comfort and stability
Anti-bacterial Energiser woollen top sock with anti-microbial properties
Steel midsole available
Steel toe cap
Dual Density PU/PU (Heat-resistant up to 95°C)","https://www.bova.co.za/footwear/heavywear/core/neogrip-safety-boot/","0.00","Foot protection/BOVA NEOGRIP 4.png"
"8","Hercules gumboot","Safety Jogger","Foot protection","High puncture-resistant PVC safety boot
With slip resistance and a steel toecap and midsole
Waterproof, antistatic and provides comfort with heel energy absorption
Prevents build-up of static electrical charges and ensures that they are discharged effectively.","https://www.safetyjogger.com/en/eu/shoes/hercules","0.00","Foot protection/HERCULES-BLK-0021.png"
"9","Poseidon gumboot","Safety Jogger","Foot protection","With PVC outsole, slip resistance, a steel toecap, antistatic and waterproof features
Oil and fuel resistance on the outsole and heel energy absorption adds to your safety
Perfect for multiple industries and environments.","https://www.safetyjogger.com/en/eu/shoes/poseidon","0.00","Foot protection\Poseidon white 4.png"
"10","Manager executive shoe","Safety Jogger","Foot protection","SR slip-resistant soles, perfect for both steel and ceramic surfaces
Equipped with ESD for controlled electrostatic discharge, ensuring safety around electronic components
Has composite toecap that is metal-free and lightweight
Oil and fuel resistant outsole and puncture resistant ","https://www.safetyjogger.com/en/eu/shoes/manager","0.00","Foot protection/MANAGER-BLK-0020.jpeg"
"11","Dakar","Safety Jogger","Foot protection","Water-resistant upper and unbeatable slip resistance, it thrives in tough, humid environments
Has steel toe cap and puncture-resistant midsole
The shock-absorbing heel and foam footbed ensure optimal comfort","https://www.safetyjogger.com/en/ds/shoes/dakar-eh","0.00","Foot protection/DAKAR-EH-018-0020.png"
"12","Best girl","Safety Jogger","Foot protection","With SR slip resistance
The steel toecap and midsole provide robust protection from falling objects and sharp penetrations.
 The outsole is oil & fuel resistant
Offers body posture pain relief, grip, and heel energy absorption","https://www.safetyjogger.com/en/eu/shoes/bestgirl","0.00","Foot protection/safety jogger best girl.png"
"13","Remy OB clogs","Safety Jogger","Foot protection","Designed for professionals in the medical and cleaning industries
Engineered with ESD to protect against static sparks
Removable footbed that allows you to customize your insoles for maximum comfort
Offers superior grip on slippery surfaces and relieves pressure on your body.","https://www.safetyjogger.com/en/eu/shoes/remy","0.00","Foot protection/Remy OB croc.png"
"14","L722","Safetoe","Foot protection","High quality water resistant cow leather
Abrasion resistant nylon fabric lining
Comfortable EVA coated mesh insole
PU/PU dual density outsole
Steel Toecap and steel midsole plate
Standard:CE EN ISO 20345:2011 S3 SRC
Application: Construction, Logistics, Mechanics, Glasses Installation, Factory Workshop, Garage etc.","https://www.safetoe.net/Best-Selling-CE-Safety-Shoes-L-7222-pd42619181.html","0.00","Foot protection/Safetoe L-7222.png"
"15","Best boy","Safety Jogger","Foot protection","Barton action leather upper
Mid-cut S3 safety shoe with a steel midsole and toecap
The slip resistant outsole (SR) provides good grip
The outsole is resistant against oil and fuel","https://www.safetyjogger.com/en/eu/shoes/bestboy","0.00","Foot protection/bestboy (2).png"
"16","Best run","Safety Jogger","Foot protection","Crafted with a breathable leather upper
S3 resistance to oil, fuel, and slipping ideal for work in automotive, mining, and oil & gas industries.
The steel toe cap and midsole provide robust protection against falling objects and sharp penetrations","https://www.safetyjogger.com/en/eu/shoes/bestrun","0.00","Foot protection/Bestrun 4.png"
"17","Jackman","Safety Jogger","Foot protection","Well-equipped to handle high humidity and oil environments
With SR slip-resistant soles and a water-resistant upper
Removable footbed lets you customize your comfort
The oil and fuel-resistant outsole, heel energy absorption, and breathable leather upper ensure lasting durability","https://www.safetyjogger.com/en/eu/shoes/jackman","0.00","Foot protection\Jackman 4.png"
"18","Venice 51002","Sisi","Foot protection","Upper full grain leather
Padded collar for enhanced comfort and support
Anti-static, non-woven in-sock for comfort and flexibility
Anti-bacterial energiser top sock with EVA inserts at the ball and heel for enhanced comfort and shock absorbency
Single density polyurethane (Heat-resistance up to 95°C)
Steel toe cap","https://www.sisi.co.za/footwear/single-density-pu/venice/","0.00","Foot protection\venice 51002.png"
"19","Paris 51003","Sisi","Foot protection","Full grain leather upper
Elastic side gussets for ease of entry and exit of the shoe
Padded collar for enhanced comfort and support
Anti-static, non-woven in-sock for comfort and flexibility
Anti-bacterial energiser top sock with EVA inserts at the ball and heel for enhanced comfort and shock absorbency
Single density Polyurethane (Heat-resistance up to 95°C)
Steel toe cap","https://www.sisi.co.za/footwear/single-density-pu/paris/","0.00","Foot protection\paris 51003.png"
"20","Executive Brogue Shoe (CL69)","Goliath","Foot protection","Breathable full-grain cowhide leather
Moisture-wicking, & washable
Energy absorbing heel
Steel toe cap protection tested to 200 joules impact","https://www.rizsafetystore.africa/products/goliath-executive-brogue-safety-shoe-cl69","0.00","Foot protection\Goliath-Executive-Brogue-Shoe CL69.png"
"21","Safety Shoe CL603","Goliath","Foot protection","Upper full grain leather
Oxford toe cap shoe
Soft leather inner lining
Dual density PU soling system with antistatic properties
Excellent shock absorption, cushion comfort and heat resistance to 160°C","https://www.graniteworkwear.com/Upload/PDFs/e8d4a-Goliath_CL603_Safety_Shoes.pdf","0.00","Foot protection\Goliath CL603.png"
"22","Heavy duty gumboots",,"Foot protection","High quality, sturdy PVC gumboots 
Suitable for industries & construction sites.
Waterproof 
Nylon-Cotton Lining","https://www.kenafricml.com/product/kenafric-industrials/","0.00","Foot protection\kenafric-industrials.png"
"23","Shova ankle gumboot","Neptune","Foot protection","made from PVC (Polyvinylchloride)
A unisex, general-purpose ankle gumboot 
For use in the agricultural and food processing industries
With an average weight of 1,5kg
Have excellent grip and sole support.","https://www.neptunboot.co.za/product/shova-gumboot-black-black-chelsea-boot/","0.00","Foot protection\Shova-Black Chelsea boot-VBBGPC.png"
"24","Best light","Safety jogger","Foot protection","Ultra-light, universal clogs are perfect for any environment
They enhance your comfort level while ensuring a tight grip
Easy to clean and hygienically designed, supporting chemical and UV sterilization
Ideal for industries such as medical, chemical, cleaning, food & beverages, and catering
Metal-free, sterilizable solution that combats bacteria and other microorganisms","https://www.safetyjogger.com/en/eu/shoes/bestlight1","0.00","Foot protection\Bestlight blk.png"
"25","Sonic","Safety jogger","Foot protection","A hygienic, waterproof solution perfect for medical or cleaning environments
Designed with Electrostatic Discharge (ESD) to protect sensitive electronics and prevent static sparks
Their grip will keep you steady on both wet and dry surfaces
Relieve body posture pain with their superior support and enjoy the comfort of a metal-free toecap","https://www.safetyjogger.com/en/eu/shoes/sonic","0.00","Foot protection\Sonick blk.png"
"26","Kilimandjaro clear glasses","Delta Plus","Eye protection","Clear-lens one-piece safety glasses with side shields
Ideal for laboratory applications
Adjustable length arms for less pressure
Extra flat temples for optimal comfort wiht Ear muffs","https://www.deltaplus.eu/es/p/kilimandjaro-clear","0.00","Eye__images/Kilimandjaro clear googles.png"
"27","Sajama","Delta Plus","Eye protection","Clear-lens, anti-fog and anti-scratch safety goggles
Fork-type headband provides low and consistent pressure on the wearer's head without sacrificing comfort
Flexible nose pads for an optimised comfort and a perfect fit for all body types","https://www.deltaplus.eu/es/p/sajama","0.00","Eye__images/Sajama Clear Polycarbonate Goggles.png"
"28","Toba 3 Welding Googles ","Delta Plus","Eye protection","Flip-up screen with flexible PVC frame
Indirect ventilation 
Elastic strap
Shade 5 mineral glass upper lens with clear polycarbonate reinforcement len","https://www.deltaplus.eu/es/p/toba-3-t5","0.00","Eye__images/Toba 2 Safety Welding Googles (Delta plus).png"
